item group,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Nagaland,Odissa,Punjab,Rajasthan,Sikkim,Tamil Nadu,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,North-Eastern States,Group of UTs,All-India
cereals,122.93,215.35,176,149.85,122.02,106.4,94.97,119.19,153.08,148.5,108.83,123.34,108.24,108.78,202.5,145.88,244.12,136.57,100.33,116.67,119.48,87.01,167.33,116.1,128.04,154.18,176.74,111.23,124.08
gram,0.23,0.84,0.6,1.55,0.56,1.08,1.6,3.59,2.44,1.83,1.49,3.79,0.66,0.99,0.43,0.22,0.33,0.44,4.89,0.33,0.72,2.73,0.05,0.82,2.5,0.2,0.3,2.21,1.14
cereal substitutes,0.04,1.68,0.05,0.31,0.33,0.09,0.06,0,0,0.05,0,5.33,0.42,3.02,0.01,1.79,0.39,0,0,0,0.57,0.02,0.5,0.03,0.07,0.03,0.78,0.2,0.48
pulses & pulse products,27.82,25.13,25.83,19.55,19.27,27.66,19.31,36.02,23.4,17.32,25.76,20.19,24.06,30.99,15.43,13.26,22.95,16.13,31.06,16.6,20.84,30.02,20.07,25.91,34.22,16.59,18.87,34.59,23.7
milk & milk products,46.37,29.59,29.9,40.08,8.57,109.53,232.16,140.56,117.92,22.55,44,52.88,53.68,49.06,15.57,19.06,41.8,10.5,197.88,131.46,66.51,37.32,21.28,63.19,88.57,19.02,24.69,59.02,60.18
edible oil,37.33,19.68,30.1,28.31,27.54,60.89,22.43,37.41,46.49,29.76,34.36,27.03,29.15,46.1,19.84,23.96,18.27,21.49,39.9,29.58,43.53,31.75,29.67,30.37,36.33,34.32,25.87,46.38,33.29
"egg, fish & meat",37.3,111.24,80.74,15.93,15.77,7.98,4.45,12.75,26.41,21.02,29.51,98.85,8.21,23.46,69.31,102.66,203.08,25.34,4.04,5.1,49,39.17,93.39,10.93,18.11,56.54,100.16,64,26.31
vegetables,49.26,76.84,65.89,49.62,53.81,56.41,43.11,51.47,60.09,55.91,36.05,46.24,36.01,44.82,49.41,69.5,102.53,49.95,54.88,40.92,76.17,48.2,74.77,44.69,53.77,59.43,75.2,66.39,48.53
fruits (fresh),13.55,16.5,10.31,5.74,5.85,10.32,15.33,13.7,14.68,3.69,16.74,49.3,6.1,13.01,9.55,14.19,16.67,6.37,13.14,7.63,8.01,15.97,11.95,7.18,11.94,7.7,12.61,18.98,10.69
fruits (dry),3.48,1.86,0.82,1.04,0.59,2.38,1.94,4.62,2.67,0.48,3.73,2.78,1.82,13.1,0.46,0.77,0.7,0.34,4.65,2.28,0.49,0.97,0.36,2.85,3.73,0.5,0.64,2.71,2.87
