State wise distribution of returns,,,,,,,,,,,,,,,,,,,,
Status,No. of Returns,,,,,,,,,,,,,,,,,,,
Individual,75461286,,,,,,,,,,,,,,,,,,,
HUF,1278502,,,,,,,,,,,,,,,,,,,
Firm,1571284,,,,,,,,,,,,,,,,,,,
AOP/BOI,119020,,,,,,,,,,,,,,,,,,,
Companies,1070924,,,,,,,,,,,,,,,,,,,
Others,211129,,,,,,,,,,,,,,,,,,,
Total,79712145,,,,,,,,,,,,,,,,,,,
Status wise distribution of key values,,,,,,,,,,,,,,,,,,,,
Category,Individual,HUF,Firm,AOP/BOI,Companies,Others,Total,,,,,,,,,,,,,
Salary Income,35,23,216.5,-,-,-,-,-,35,23,216.5,,,,,,,,,
House Property Income,67,269.46,6,160.37,8,604.7,543.01,20,793.05,763.63,1,04,134.23,,,,,,,
Business Income,16,67,745.5,24,277.24,2,47,606.34,9,451.49,26,56,654.93,50,734.3,46,56,469.8,,
Long Term Capital Gains,2,54,357.08,5,929.14,23,613.48,65,131.64,4,14,433.51,94,558,8,58,22.85,,,
Short Term Capital Gains,43,788.54,1,623.9,4,335.68,3,283.27,59,988.75,4,107.39,1,17,127.54,,,,,
Capital Gains u/s 115BBH,602.06,12.96,40.07,-,6.79,-,661.88,,,,,,,,,,,,,
Other Sources Income,6,81,170.5,29,752.08,15,898.71,16,5.73,6,79,995.52,40,178.82,14,63,1.36,,,
Total (Addition of above),62,38,149.65,67,755.7,3,00,98.99,94,415.14,38,31,872.54,1,90,342.14,1,07,22,634.16
Loss Setoff,-60,160.82,-1,168.49,-14,321.5,-6,709.08,-3,73,655.47,-13,505.33,-4,69,520.67,,,,
Gross Total Income,61,77,988.83,66,587.21,2,85,777.49,87,706.07,34,58,217.07,1,76,836.81,1,02,53,113.48
Return Income,55,02,513.72,62,997.69,2,73,886.04,87,449.46,31,90,490.2,1,59,397.35,92,76,734.45,
Aggregate Tax Liability,6,77,350.62,6,641.48,91,602.39,14,315.69,7,16,578.11,28,662.8,15,35,151.08,,,
Range (in INR),No. of Returns,Sum of Gross Total Income (in Crore INR),Average Gross Total Income (in Lakh INR),,,,,,,,,,,,,,,,,
< 0,-,-,-,,,,,,,,,,,,,,,,,
0,1,441,175,-,-,,,,,,,,,,,,,,,
>0 and <=1,50,000,4,144,666,27,301.11,0.66,,,,,,,,,,,,
>150,000 and <= 2,00,000,1,509,747,26,580.54,1.76,,,,,,,,,,,
>2,00,000 and <=2,50,000,3,036,825,70,634.6,2.33,,,,,,,,,,
>2,50,000 and <=3,50,000,5,946,214,179,959.39,3.03,,,,,,,,,,
>3,50,000 and <=4,00,000,4,055,198,152,271.85,3.75,,,,,,,,,,
>4,00,000 and <=4,50,000,6,024,031,256,523.04,4.26,,,,,,,,,,
>4,50,000 and <=5,00,000,12,600,689,605,945.82,4.81,,,,,,,,,,
>5,00,000 and <=5,50,000,6,154,414,321,147.33,5.22,,,,,,,,,,
>5,50,000 and <=9,50,000,20,697,590,1,446,633.21,6.99,,,,,,,,,
>9,50,000 and <=10,00,000,1,084,818,105,734.2,9.75,,,,,,,,,,
>10,00,000 and <=15,00,000,6,379,208,769,71.17,12.06,,,,,,,,,,
>15,00,000 and <=20,00,000,2,503,932,429,845.38,17.17,,,,,,,,,,
>20,00,000 and <=25,00,000,1,240,128,275,920.07,22.25,,,,,,,,,,
>25,00,000 and <=50,00,000,1,953,619,663,297.9,33.95,,,,,,,,,,
>50,00,000 and <=1,00,00,000,589,762,401,373.49,68.06,,,,,,,,,,
>1,00,00,000 and <=5,00,00,000,291,929,553,302.82,189.53,,,,,,,,,
>5,00,00,000 and <=10,00,00,000,26,379,183,191.35,694.46,,,,,,,,,
>10,00,00,000 and <=25,00,00,000,17,041,263,462.12,1,546.05,,,,,,,,
>25,00,00,000 and <=50,00,00,000,6,529,228,243.7,3,495.84,,,,,,,,
>50,00,00,000 and <=100,00,00,000,3,730,260,125.96,6,973.89,,,,,,,,
>100,00,00,000 and <=500,00,00,000,3,555,731,680.31,20,581.72,,,,,,,,
>500,00,00,000,966,2,300,868.12,238,185.11,,,,,,,,,,,
Total,79,712,145,10,253,113.48,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
